phenomenon,benchmark_observable,benchmark_source,model_prediction,model_status,next_gap
msd_plateau_cage_localization,MSD plateau and cage rearrangements in colloids and simulations,weeks2002cage;pastore2017cage,local cage variance L(t) plus delayed cage-center renewal,supported,calibrate A and tau_c against trajectory-level cage metrics
transient_ngp_and_van_hove_tail,transient NGP peak and broad self van Hove tails,kob1995vanhove;guan2014fickian;rusciano2022fickian,variance mixture from delayed renewal count gives NGP peak and transient radial tail,supported,fit public trajectory data rather than synthetic curves
long_time_gaussian_recovery,non-Gaussianity decays after many rearrangements,chubynsky2014diffusing;chechkin2017brownian;berthier2023comment,alpha_2 decays as inverse renewal count for finite exchange,supported,quantify finite observation-window corrections in published datasets
alpha_relaxation_fs,self-intermediate scattering alpha relaxation and KWW-like decay,kob1995intermediate,"F_s(k,t) factorizes into cage plateau and renewal PGF alpha decay",supported,"compare full F_s(k,t) curves across wave numbers"
stretched_alpha_relaxation,stretched relaxation and broad distribution of local relaxation times,ediger2000spatial;kob1995intermediate,finite-exchange gamma renewal heterogeneity gives beta_loc<1 with Gaussian recovery,supported,infer exchange ratio from real multi-k alpha slopes
stokes_einstein_violation,diffusion and structural relaxation decouple on cooling,ediger2000spatial;berthier2011theoretical,persistence/exchange decoupling increases D tau_alpha at fixed diffusion,supported,calibrate tau_p/tau_x against simulation or experiment
persistence_exchange_decoupling,first persistence time separates from subsequent exchange time in glass formers,hedges2007persistence,"D fixes tau_x, alpha time fixes tau_p, late NGP is held out",supported,apply inversion to published or newly simulated trajectory clocks
tts_breakdown,alpha-shape superposition can fail as relaxation slows,kob1995intermediate;berthier2011theoretical,scaled alpha shape controlled by C_k=Gamma_k lambda tau_d,partial,"benchmark residual against temperature series of F_s(k,t)"
fragility_growth,apparent activation energy grows in fragile liquids,berthier2011theoretical,barrier law produces apparent activation and local fragility proxies,partial,derive material-specific barriers from microscopic structure
spatial_chi4_length,four-point susceptibility and dynamic correlation length grow,lacevic2003fourpoint;berthier2011theoretical;berthier2024experimental,diffusive facilitation front maps persistence time to xi4 and N_corr,partial,replace the compact-domain closure by a full spatial four-point field theory
mct_beta_relaxation,"beta-relaxation scaling, von Schweidler law, and MCT exponents",kob1995intermediate;berthier2011theoretical,"cage plateau is present, but MCT beta exponent structure is absent",unsupported,couple renewal clock to a beta-relaxation kernel or memory function
thermodynamic_glass_transition,"configurational entropy, heat-capacity anomaly, ideal-glass/Kauzmann questions",berthier2011theoretical,no equilibrium free-energy or entropy sector,unsupported,add or explicitly exclude thermodynamic theory
